A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,toss_winner_won,match_id,season,team_A,team_B
0.2,0.6,-0.4,0.2,0.3,-0.1,0.2,0.3125,-0.1125,1.0,1.0,1,1,0,0.0,0.5,155.53,137.69,17.84,5.13,5.06,0.07,0.0,2,1,1,0.3307,0.4841,0,1,392188,2009,Deccan Chargers,Royal Challengers Bangalore
0.4,0.6,-0.2,0.5,0.8,-0.3,0.4667,0.7647,-0.298,0.0,0.0,1,1,0,0.0,0.5,141.47,156.41,-14.94,5.2,6.88,-1.68,0.0,2,0,0,0.5,0.433,0,0,392190,2009,Kolkata Knight Riders,Rajasthan Royals
0.6,0.6,0.0,0.4,0.5,-0.1,0.5333,0.5556,-0.0223,0.5,0.5,0,0,0,0.0,0.5,145.07,158.06,-12.99,6.87,6.11,0.76,0.5,2,1,1,0.5,0.5,0,1,392189,2009,Delhi Capitals,Chennai Super Kings
0.4,0.2,0.2,0.3,0.5,-0.2,0.2941,0.5882,-0.2941,0.5,0.0,0,1,-1,0.5,0.5,139.0,160.35,-21.35,5.12,5.65,-0.53,0.0,2,1,1,0.4841,0.5,0,0,392191,2009,Royal Challengers Bangalore,Kings XI Punjab
0.4,0.4,0.0,0.3,0.7,-0.4,0.25,0.5333,-0.2833,0.5,0.5,0,0,0,0.0,0.5,157.31,149.67,7.64,5.31,6.73,-1.42,0.5,2,1,1,0.433,0.4841,0,1,392192,2009,Deccan Chargers,Mumbai Indians
0.2,0.8,-0.6,0.3,0.5,-0.2,0.2778,0.5625,-0.2847,0.0,0.5,1,0,1,-0.5,0.5,140.61,147.81,-7.2,5.0,7.0,-2.0,0.0,2,1,1,0.4841,0.4841,0,0,392194,2009,Royal Challengers Bangalore,Delhi Capitals
0.4,0.6,-0.2,0.6,0.8,-0.2,0.6111,0.7778,-0.1667,0.0,0.5,1,2,-1,-0.5,0.5,161.06,157.06,4.0,5.83,7.0,-1.17,0.5,2,1,1,0.5,0.433,0,1,392195,2009,Kings XI Punjab,Rajasthan Royals
0.6,0.4,0.2,0.3,0.4,-0.1,0.2941,0.5263,-0.2322,1.0,0.0,1,1,0,1.0,0.5,157.94,159.21,-1.27,5.41,6.05,-0.64,0.5,2,0,0,0.4841,0.4841,0,1,392196,2009,Deccan Chargers,Chennai Super Kings
0.4,0.4,0.0,0.6,0.5,0.1,0.5,0.4375,0.0625,0.5,0.5,0,0,0,0.0,0.5,150.06,142.94,7.12,6.88,5.25,1.63,1.0,2,1,1,0.5,0.4841,0,1,392197,2009,Mumbai Indians,Kolkata Knight Riders
0.8,0.6,0.2,0.6,0.7,-0.1,0.5882,0.7368,-0.1486,0.5,0.5,0,0,0,0.0,0.5,147.94,154.68,-6.74,7.0,6.95,0.05,0.3333,3,1,1,0.433,0.4841,0,0,392198,2009,Delhi Capitals,Rajasthan Royals
0.4,0.6,-0.2,0.6,0.6,0.0,0.6316,0.5294,0.1022,0.5,0.0,2,1,1,0.5,0.5,159.89,152.24,7.65,5.89,7.0,-1.11,1.0,2,1,1,0.5,0.5,0,1,392200,2009,Kings XI Punjab,Mumbai Indians
0.4,0.2,0.2,0.4,0.3,0.1,0.4118,0.2632,0.1486,1.0,0.0,1,1,0,1.0,0.5,140.12,141.05,-0.93,5.29,4.95,0.34,1.0,2,1,1,0.433,0.4841,0,0,392199,2009,Kolkata Knight Riders,Royal Challengers Bangalore
0.6,0.8,-0.2,0.6,0.4,0.2,0.5556,0.3333,0.2223,0.0,0.5,1,0,1,-0.5,0.5,147.67,158.56,-10.89,6.89,5.44,1.45,1.0,2,0,0,0.4841,0.5,0,1,392201,2009,Delhi Capitals,Deccan Chargers
0.6,0.2,0.4,0.7,0.4,0.3,0.75,0.5,0.25,1.0,0.5,1,0,1,0.5,0.5,154.3,159.5,-5.2,6.95,5.95,1.0,1.0,3,0,0,0.4841,0.4841,0,0,392202,2009,Rajasthan Royals,Chennai Super Kings
0.6,0.2,0.4,0.5,0.3,0.2,0.5,0.3889,0.1111,0.5,0.5,0,0,0,0.0,0.5,150.22,140.06,10.16,7.06,5.28,1.78,1.0,3,1,1,0.4841,0.433,0,1,392203,2009,Mumbai Indians,Kolkata Knight Riders
0.2,0.6,-0.4,0.4,0.6,-0.2,0.3,0.65,-0.35,0.5,0.6667,2,3,-1,-0.1667,0.5,141.15,157.85,-16.7,5.0,5.95,-0.95,0.0,3,1,1,0.4841,0.5,0,1,392204,2009,Royal Challengers Bangalore,Kings XI Punjab
0.8,0.4,0.4,0.4,0.6,-0.2,0.3158,0.7143,-0.3985,0.5,0.5,0,0,0,0.0,0.5,158.0,152.95,5.05,5.37,6.86,-1.49,0.0,2,1,1,0.5,0.5,1,0,392205,2009,Deccan Chargers,Rajasthan Royals
0.8,0.4,0.4,0.7,0.4,0.3,0.5789,0.5238,0.0551,0.5,0.5,0,0,0,0.0,0.5,147.79,159.71,-11.92,7.0,6.1,0.9,0.6667,3,0,0,0.433,0.5,1,0,392206,2009,Delhi Capitals,Chennai Super Kings
