A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,team1_won,match_id,season,team_A,team_B
0.4,0.4,0.0,0.3,0.7,-0.4,0.25,0.5333,-0.2833,0.5,0.5,0,0,0,0.0,0.5,157.31,149.67,7.64,5.31,6.73,-1.42,0.5,2,1,1,0.433,0.4841,0,1,392192,2009,Deccan Chargers,Mumbai Indians
0.2,0.8,-0.6,0.3,0.5,-0.2,0.2778,0.5625,-0.2847,0.0,0.5,1,0,1,-0.5,0.5,140.61,147.81,-7.2,5.0,7.0,-2.0,0.0,2,1,1,0.4841,0.4841,0,0,392194,2009,Royal Challengers Bangalore,Delhi Capitals
0.4,0.6,-0.2,0.6,0.8,-0.2,0.6111,0.7778,-0.1667,0.0,0.5,1,2,-1,-0.5,0.6667,161.06,157.06,4.0,5.83,7.0,-1.17,0.5,2,1,1,0.5,0.433,0,1,392195,2009,Kings XI Punjab,Rajasthan Royals
0.4,0.6,-0.2,0.4,0.3,0.1,0.5263,0.2941,0.2322,0.0,1.0,1,1,0,-1.0,0.5,159.21,157.94,1.27,6.05,5.41,0.64,0.5,2,0,0,0.4841,0.4841,0,0,392196,2009,Chennai Super Kings,Deccan Chargers
0.4,0.4,0.0,0.5,0.6,-0.1,0.4375,0.5,-0.0625,0.5,0.5,0,0,0,0.0,0.5,142.94,150.06,-7.12,5.25,6.88,-1.63,0.0,2,1,1,0.4841,0.5,0,0,392197,2009,Kolkata Knight Riders,Mumbai Indians
0.8,0.6,0.2,0.6,0.7,-0.1,0.5882,0.7368,-0.1486,0.5,0.5,0,0,0,0.0,0.5,147.94,154.68,-6.74,7.0,6.95,0.05,0.3333,3,1,1,0.433,0.4841,0,0,392198,2009,Delhi Capitals,Rajasthan Royals
0.2,0.4,-0.2,0.3,0.4,-0.1,0.2632,0.4118,-0.1486,0.0,1.0,1,1,0,-1.0,0.4,141.05,140.12,0.93,4.95,5.29,-0.34,0.0,2,1,0,0.4841,0.433,0,1,392199,2009,Royal Challengers Bangalore,Kolkata Knight Riders
0.4,0.6,-0.2,0.6,0.6,0.0,0.6316,0.5294,0.1022,0.5,0.0,2,1,1,0.5,0.4,159.89,152.24,7.65,5.89,7.0,-1.11,1.0,2,1,0,0.5,0.5,0,1,392200,2009,Kings XI Punjab,Mumbai Indians
0.2,0.6,-0.4,0.4,0.7,-0.3,0.5,0.75,-0.25,0.5,1.0,0,1,-1,-0.5,0.5,159.5,154.3,5.2,5.95,6.95,-1.0,0.0,3,0,0,0.4841,0.4841,0,1,392202,2009,Chennai Super Kings,Rajasthan Royals
0.8,0.6,0.2,0.4,0.6,-0.2,0.3333,0.5556,-0.2223,0.5,0.0,0,1,-1,0.5,0.5,158.56,147.67,10.89,5.44,6.89,-1.45,0.0,2,0,0,0.5,0.4841,0,0,392201,2009,Deccan Chargers,Delhi Capitals
